protein,limma_pvalue,mu_hat,se_hat,residual_dof
P46527,0.08652128030482169,-0.40050510848138354,0.2161940657681238,28
P50990,0.03531894987242069,0.6162025519223348,0.28154026296314466,28
P14550,0.3992084208678087,-0.1837208970994274,0.20164969581042538,28
P27816,0.674742740287968,-0.1420898947428327,0.3453641575708962,28
P31939,0.8268461517021789,-0.04682532447971627,0.19817346205118236,28
Q96IZ0,0.007055206493449339,-0.8695629040731103,0.3073086234443288,28
O95336,0.015380721478688476,-0.5151601333184157,0.18437202857566096,28
Q96EI5,0.06130408514045706,-0.6373660445368992,0.337818579454098,28
O75937,0.1951858883305482,-0.2301213443196846,0.14740971363164893,28
H0YGL6,0.7037211120564361,-0.11668278829735479,0.3089611045880529,28
P62736,0.6774068880647628,-0.0927511220357717,0.2090369165892005,28
P28838,0.6121090940168481,-0.14179236891984617,0.27701387882984924,28
E9PM69,0.771175843925918,-0.05148263874118836,0.14952035253461365,28
A0M8Q6,0.9827754879745537,-0.011888186262240752,0.5828483799050727,28
P02679,0.3776680654008111,-0.307725544778295,0.3551857931649893,28
Q01469,0.2622526936824356,-0.5321458158566201,0.4937451854993501,28
P51148,0.18998574419666892,-0.3011147994320439,0.21409712803818168,28
Q14240,0.678376204522082,-0.08368708801033069,0.1823235637171669,28
P13667,0.2949772783873886,0.31847981561042166,0.303266689631964,28
J3KRC4,0.12777218277304078,-0.3953094482016628,0.248429554681415,28
P61326,0.7005525842539029,0.09885891345628423,0.25056176556103593,28
P55769,0.7751632072896119,-0.06526386963779064,0.21607939931663447,28
F8VYE8,0.3384361469468038,-0.16327582656934653,0.13897698248895818,28
P25789,0.5454332306278286,-0.16304576006247806,0.26501463443556234,28
O43719,0.016307387099442853,0.6734642200398664,0.26408789793479803,28
Q9NX55,0.6826656597184977,-0.07766589523007755,0.16687007289967648,28
P35998,0.1777199134831514,0.2672332995006458,0.1745105068043859,28
P21291,0.7825418431928052,-0.06683221728527972,0.23277016671557918,28
B8ZZU8,0.7347658759133935,-0.08246826003324897,0.2342337526491217,28
C9J4W5,0.775524770521355,-0.08890158235593715,0.3148514651027776,28
Q13287,0.23156531722253382,-0.3544474368379187,0.2933600927394643,28
Q9NQR4,0.294594403314036,-0.30474485414656366,0.28784856324172164,28
Q86UP2,0.7029937593437288,-0.09731543097644954,0.24838146806189262,28
P31689,0.03463764012837362,0.579955406489727,0.260646945519569,28
P12277,0.071726255987377,-1.0809921417961244,0.6212042128624178,28
O75369,0.16925757325289634,-0.4898065399858832,0.360260656182529,28
Q8N6N7,0.09635092565095757,-0.7880263871224856,0.4868797477090074,28
O00161,0.7213686425329449,0.09732948425209154,0.26943027747780435,28
P00167,0.584491521972457,-0.18055621827152252,0.3353982282569769,28
Q8TBC4,0.6610472788439199,0.0985061450294078,0.2111076639298486,28
Q9Y265,0.8932220905929856,0.03215486441138768,0.22976038572452978,28
Q9BVA1,0.9970382612818731,0.0012219454722447176,0.33512036152809943,28
Q15843,0.4900453876985893,-0.2889643664441177,0.4346262613918281,28
A8MUB1,0.46760193235238456,0.17818926047815373,0.2355869391821091,28
Q86U42,0.23679666188435824,-0.20755266502047792,0.14489400615713247,28
Q96NY7,0.5086285073579613,-0.5312100188341091,0.8571135560857149,28
P33176,0.002864676020071041,0.6289846489065494,0.1761658917178143,28
Q9UJ70,0.3080143348831211,0.2243264462812754,0.20361465403521836,28
G3XAP6,0.029335264750450694,-1.2630442327664924,0.5918242543316347,28
Q969E4,6.082574431280726e-5,-1.5791721375107826,0.35508618782666884,28
Q5T949,0.9782082505558345,0.005922390939367916,0.2017345463627686,28
Q9UNM6,0.050830984772936454,0.36414765165423923,0.1552297412404795,28
P17987,0.052433472653840275,0.6817381229169343,0.3491488452442586,28
P28066,0.2500879610263756,-0.25260700887384885,0.20249254869757527,28
Q15365,0.27919954779995704,-0.23063416219472138,0.19469751696582902,28
Q9UHV9,0.9245884947207963,-0.02084969428749356,0.20603737193857619,28
O95716,0.011367013067211383,1.1693590341461033,0.4597387885302626,28
P48739,0.29494159180741536,0.30678925353589453,0.2903563869547077,28
P52298,0.009603597229152161,-0.9073485130704207,0.33901745361460445,28
P20340,0.5646706891368338,0.1711761817087637,0.2973476754908552,28
P61758,0.15557752979070294,-0.3099201243806039,0.19931436036207195,28
Q15019,0.8382120879436743,0.03377583085409056,0.13322715297663124,28
P01859,0.30975773645018007,-0.5240286284963456,0.5400096046960439,28
P43490,0.07711352699164875,0.6264539159065778,0.3543095398859446,28
P69905,0.10304571400569024,-0.6224240796486833,0.3861996591713788,28
O75608,0.587951003074917,0.20341912428201364,0.3867952857379236,28
O60664,0.5067828893815405,-0.1619450108633122,0.23413858764258003,28
P01008,0.1484234486129166,-0.6380151880920876,0.45403656736435394,28
P62195,0.7155744537969424,0.06222170622947515,0.14069786405302862,28
H7BXT7,0.20752774316840789,-0.4134795931824441,0.3292673113924941,28
P25787,0.4519309096986498,-0.15504937731271135,0.18706880811899423,28
P39687,0.30202858091852075,-0.23274161804765076,0.21029322532259284,28
O15372,0.017525527058562664,0.4413407509300958,0.1508285537535922,28
Q99417,0.42957066829354607,0.19314957227142523,0.23441272104715827,28
P62072,0.9656382120602788,0.014483024220029006,0.343135628090956,28
Q08J23,0.3660395425918094,0.3174268029241395,0.3577312093484674,28
P29966,0.9704630466275912,0.012448427462412467,0.34313738242892783,28
P08779,0.3200497480172944,0.7486304570708567,0.7984023289029327,28
P52788,0.9655355850437661,-0.013209209280362177,0.30806841075319313,28
P62834,0.7770194115636738,-0.07799732712670676,0.27248763767614337,28
P61224,0.17831752967896117,-0.4063096396088145,0.29879077216376676,28
P23284,0.6405598469862757,0.12678690040232396,0.2675867719226975,28
Q9BQE3,0.6704787943815129,0.0896654576637956,0.19369983019411494,28
O14907,0.6032349667949727,-0.1594948338318923,0.30867878683992056,28
